start_date,close_price_start,support,nearest_support,date_below_support,atr,entry,entry_date,Buy/Sell,sma_value,exit_date,Company,date_of_run,time_of_run
17/09/24 0:00,7873.65,"[4339.4, 4957.0, 5933.9, 6568.3, 8599.8, 9149.95]",8599.8,18/09/24 0:00,209.857709,7502.7,2024-10-03,Sell,7801.0,29/09/24 0:00,ABB,2024-09-25,18:09:26
17/09/24 0:00,338.4,"[203.55, 241.25, 232.15, 317.65, 343.95, 326.5, 359.05]",343.95,18/09/24 0:00,8.982888559,324.45,2024-10-03,Sell,336.627,29/09/24 0:00,BPCL,2024-09-25,18:09:26
17/09/24 0:00,660.15,"[558.0, 572.5, 637.25, 651.0, 671.5]",671.5,18/09/24 0:00,14.23157028,627.0,2024-10-03,Sell,641.486,05/10/24 0:00,DABUR,2024-09-25,18:09:26
17/09/24 0:00,4458.5,"[2110.95, 3064.45, 3428.0, 3184.0, 4044.75, 5378.0, 5582.8, 5082.0, 4864.0]",4864.0,18/09/24 0:00,127.9822799,4231.8,2024-10-03,Sell,4805.913,29/09/24 0:00,HAL,2024-09-25,18:09:26
18/09/24 0:00,654.4,"[558.0, 572.5, 637.25, 651.0, 671.5]",671.5,19/09/24 0:00,14.23157028,627.0,2024-10-03,Sell,641.486,05/10/24 0:00,DABUR,2024-09-26,18:25:34
25/09/24 0:00,8178.35,"[3978.35, 4675.05, 5520.0, 8109.15, 7236.8, 7451.0, 7700.0]",8109.15,26/09/24 0:00,243.9041053,8154.65,2024-10-03,Buy,7819.955,18/10/24 0:00,ABB,2024-10-08,21:35:23
27/09/24 0:00,1010.2,"[1246.0, 1083.0, 1136.0, 1190.6, 1348.0]",1083.0,30/09/24 0:00,41.80010642,1007.3,2024-10-03,Sell,1050.747,18/10/24 0:00,ADANIENSOL,2024-10-08,21:35:23
27/09/24 0:00,1456.7,"[794.4, 1082.5, 1343.0, 1621.4, 1418.8, 1498.9, 1556.0]",1498.9,30/09/24 0:00,35.46361102,1355.2,2024-10-03,Sell,1478.429,17/10/24 0:00,ADANIPORTS,2024-10-08,21:35:23
27/09/24 0:00,634.0,"[450.35, 532.5, 557.9, 615.25, 649.0, 676.65, 706.95]",649.0,30/09/24 0:00,14.90632257,590.35,2024-10-03,Sell,630.842,17/10/24 0:00,AMBUJACEM,2024-10-08,21:35:23
27/09/24 0:00,293.45,"[146.75, 187.0, 241.65, 303.2, 323.0, 340.5]",303.2,30/09/24 0:00,8.655503397,280.25,2024-10-03,Sell,294.056,18/10/24 0:00,BEL,2024-10-08,21:35:23
